episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
350,-4.0,0.39,61.0,32.89,1.0,0.11
351,100.0,0.0,100.0,30.0,8.0,0.12
352,10.0,0.36,64.0,26.98,1.0,0.11
353,80.0,0.0,100.0,17.36,4.0,0.12
354,100.0,0.0,100.0,14.86,16.0,0.12
355,100.0,0.0,100.0,31.91,8.0,0.12
356,100.0,0.0,100.0,10.98,4.0,0.12
357,28.0,0.24,76.0,28.12,1.0,0.11
358,100.0,0.0,100.0,21.84,16.0,0.13
359,8.0,0.29,71.0,21.35,1.0,0.12
360,100.0,0.0,100.0,31.71,16.0,0.12
361,8.0,0.35,65.0,30.72,1.0,0.11
362,100.0,0.0,100.0,15.86,4.0,0.12
363,86.0,0.0,100.0,54.85,4.0,0.13
364,72.0,0.0,100.0,23.18,4.0,0.13
365,-2.0,0.3,70.0,39.88,1.0,0.11
366,86.0,0.0,100.0,21.73,4.0,0.12
367,60.0,0.03,97.0,13.69,2.0,0.12
368,100.0,0.0,100.0,26.67,16.0,0.12
369,6.0,0.32,68.0,24.15,1.0,0.11
370,78.0,0.0,100.0,35.84,4.0,0.13
371,68.0,0.02,98.0,12.01,2.0,0.12
372,52.0,0.01,99.0,34.05,2.0,0.13
373,100.0,0.0,100.0,28.65,16.0,0.13
374,20.0,0.33,67.0,30.46,1.0,0.11
375,100.0,0.0,100.0,17.79,16.0,0.12
376,100.0,0.0,100.0,24.8,8.0,0.12
377,100.0,0.0,100.0,37.05,16.0,0.12
378,100.0,0.0,100.0,17.46,8.0,0.13
379,6.0,0.33,67.0,54.51,1.0,0.12
380,100.0,0.0,100.0,14.16,16.0,0.13
381,100.0,0.0,100.0,34.48,16.0,0.13
382,-2.0,0.37,63.0,8.44,1.0,0.11
383,60.0,0.01,99.0,14.81,2.0,0.12
384,100.0,0.0,100.0,44.57,16.0,0.12
385,100.0,0.0,100.0,38.05,8.0,0.12
386,68.0,0.01,99.0,41.23,2.0,0.12
387,100.0,0.0,100.0,28.22,16.0,0.13
388,100.0,0.0,100.0,27.1,4.0,0.12
389,100.0,0.0,100.0,29.84,16.0,0.12
390,74.0,0.0,100.0,29.41,4.0,0.11
391,92.0,0.0,100.0,10.97,4.0,0.12
392,100.0,0.0,100.0,24.05,16.0,0.12
393,16.0,0.3,70.0,51.37,1.0,0.11
394,76.0,0.04,96.0,19.13,2.0,0.11
395,100.0,0.0,100.0,27.61,4.0,0.13
396,100.0,0.0,100.0,22.09,8.0,0.12
397,82.0,0.04,96.0,23.21,2.0,0.12
398,22.0,0.31,69.0,37.65,1.0,0.11
399,10.0,0.34,66.0,40.48,1.0,0.11
400,8.0,0.38,62.0,38.6,1.0,0.11
401,74.0,0.03,97.0,40.25,2.0,0.12
