episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
428,1181.0,0.01,99.0,49.38,4.06,0.14
429,843.74,0.0,100.0,38.42,7.56,0.13
430,453.0,0.02,98.0,48.04,11.36,0.11
431,740.0,0.02,98.0,58.06,8.43,1.18
432,1329.0,0.01,99.0,52.25,2.57,0.1
433,859.61,0.02,98.0,73.57,7.21,0.1
434,986.0,0.0,100.0,70.55,6.14,0.09
435,1442.6,0.01,99.0,45.99,1.42,0.1
436,103.0,0.02,98.0,33.06,14.93,0.1
437,837.76,0.0,100.0,77.68,7.62,0.1
438,903.0,0.0,100.0,43.07,6.97,0.1
439,888.0,0.0,100.0,68.32,7.12,0.1
440,802.07,0.02,98.0,57.35,7.8,0.09
441,602.47,0.0,100.0,30.53,9.98,0.1
442,1058.26,0.02,98.0,29.58,5.18,0.1
443,915.25,0.0,100.0,38.18,6.85,0.09
444,806.96,0.01,99.0,39.27,7.84,0.1
445,546.0,0.0,100.0,60.35,10.54,0.1
446,882.0,0.0,100.0,51.29,7.18,0.1
447,1366.2,0.02,98.0,52.54,2.04,0.1
448,1169.22,0.0,100.0,51.14,4.31,0.1
449,663.14,0.0,100.0,52.73,9.37,0.1
450,1180.0,0.0,100.0,60.01,4.2,0.09
451,942.5,0.01,99.0,68.88,6.47,1.13
452,479.0,0.01,99.0,43.32,11.15,0.09
453,920.67,0.0,100.0,41.27,6.79,0.09
454,972.0,0.0,100.0,18.8,6.28,0.09
455,888.0,0.02,98.0,57.18,6.92,0.09
456,508.0,0.0,100.0,74.34,10.92,0.1
457,725.5,0.02,98.0,72.64,8.58,0.1
458,1394.14,0.01,99.0,47.17,1.91,0.1
459,908.81,0.01,99.0,45.51,6.81,0.09
460,947.33,0.01,99.0,23.44,6.42,0.09
461,1141.5,0.01,99.0,41.39,4.46,0.1
462,1096.33,0.0,100.0,60.69,5.04,0.09
463,1229.0,0.01,99.0,52.95,3.58,0.09
464,1203.0,0.01,99.0,43.83,3.84,0.09
465,1192.86,0.01,99.0,50.63,3.94,0.09
466,1114.67,0.01,99.0,38.95,4.73,0.1
467,1334.67,0.02,98.0,62.37,2.36,0.11
468,288.0,0.0,100.0,41.09,13.12,0.1
469,948.67,0.0,100.0,76.77,6.51,0.1
470,1307.86,0.01,99.0,26.78,2.78,0.09
471,1231.0,0.01,99.0,42.3,3.56,0.09
472,1037.33,0.0,100.0,46.98,5.63,1.16
473,1218.0,0.0,100.0,57.09,3.82,0.1
474,880.93,0.0,100.0,69.5,7.19,0.1
475,1369.42,0.03,97.0,56.97,1.85,0.1
476,1341.33,0.0,100.0,52.55,2.59,0.1
477,995.4,0.03,97.0,60.63,5.71,0.09
478,1371.66,0.0,100.0,70.89,2.28,0.1
479,1060.0,0.0,100.0,48.19,5.4,0.11
480,1133.0,0.01,99.0,37.7,4.55,0.1
481,991.93,0.01,99.0,48.65,5.97,0.1
482,1230.0,0.0,100.0,39.26,3.7,0.1
