episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
235,66,100,40.441208,-1,5,66,0.17,83,54.21,6.94,0.21
236,48,100,40.64386,1,1,48,0.21,79,71.22,7.09,0.17
237,62,100,40.854653,1,0,62,0.14,86,33.99,5.01,0.19
238,68,100,41.063031,1,3,68,0.13,87,69.51,10.85,0.19
239,42,100,41.262425,-1,5,42,0.24,76,91.33,6.97,0.19
240,64,100,41.455007,-1,5,64,0.17,83,74.23,13.44,0.18
241,62,100,41.655083,1,2,62,0.14,86,48.33,11.05,0.18
242,58,100,41.85668,1,3,58,0.16,84,67.82,12.3,0.19
243,62,100,42.056051,1,3,62,0.14,86,58.4,5.79,0.19
244,34,100,42.259993,1,0,34,0.2,80,114.6,1.81,0.18
245,58,100,42.451017,1,2,58,0.17,83,41.77,3.06,0.19
246,56,100,42.648278,1,2,56,0.16,84,84.02,9.17,0.18
247,62,100,42.838004,1,0,62,0.16,84,66.5,8.28,0.18
248,44,100,43.03332,1,4,44,0.2,80,53.99,3.83,0.17
249,48,100,43.225444,1,4,48,0.2,80,82.26,10.4,0.18
250,48,100,43.419493,-1,5,48,0.14,86,49.14,6.9,0.18
251,84,100,43.615239,1,1,84,0.06,94,50.52,12.51,0.18
252,60,100,43.816662,1,4,60,0.12,88,56.97,4.04,0.18
253,52,100,44.005639,1,1,52,0.21,79,71.31,5.98,0.19
254,76,100,44.208465,1,1,76,0.12,88,121.29,5.53,0.17
255,74,100,44.398629,1,0,74,0.13,87,59.48,14.34,0.19
256,26,100,44.597538,-1,4,26,0.18,82,54.97,1.55,0.17
257,66,100,44.807891,1,1,66,0.11,89,71.15,5.03,0.19
258,66,100,45.004613,1,0,66,0.15,85,67.2,4.84,0.2
259,68,100,45.199448,1,3,68,0.13,87,72.95,13.59,0.18
260,74,100,45.410045,1,0,74,0.13,87,68.23,14.53,0.18
261,50,100,45.623176,1,3,50,0.18,82,93.2,8.54,0.2
262,68,100,45.860492,1,0,68,0.11,89,57.65,6.09,0.2
263,50,100,46.076151,1,2,50,0.15,85,67.69,5.2,0.22
264,50,100,46.273759,-1,2,50,0.11,89,73.02,4.63,0.2
265,62,100,46.47937,1,4,62,0.17,83,105.86,5.71,0.18
266,78,100,46.692172,1,1,78,0.07,93,90.96,11.68,0.19
267,44,100,46.907676,1,2,44,0.22,78,100.01,5.85,0.2
268,44,100,47.161506,-1,4,44,0.15,85,64.75,2.94,0.2
269,72,100,47.390657,1,1,72,0.12,88,106.65,6.88,0.24
270,72,100,47.657009,1,0,72,0.14,86,59.11,8.78,0.21
271,58,100,47.925856,1,0,58,0.15,85,56.82,7.31,0.25
272,58,100,48.157657,1,0,58,0.18,82,44.67,4.4,0.25
