episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
107,84.0,0.03,97.0,42.08,0.31
107,84.0,0.03,97.0,59.16,0.31
107,90.0,0.0,100.0,45.74,0.31
108,82.0,0.02,98.0,62.06,0.31
108,70.0,0.02,98.0,87.65,0.31
108,84.0,0.02,98.0,45.81,0.31
109,78.0,0.02,98.0,49.06,0.26
109,72.0,0.05,95.0,66.5,0.27

109,94.0,0.02,98.0,20.98,0.26
109,90.0,0.02,98.0,42.06,0.26
109,68.0,0.02,98.0,61.2,0.27

110,84.0,0.02,98.0,56.99,0.27
110,74.0,0.06,94.0,50.97,0.27
110,70.0,0.05,95.0,70.07,0.27
110,92.0,0.04,96.0,32.24,0.27
110,72.0,0.04,96.0,90.84,0.27
111,70.0,0.02,98.0,73.66,0.26
111,78.0,0.01,99.0,70.71,0.26
112,76.0,0.05,95.0,56.72,0.27
112,86.0,0.02,98.0,73.32,0.27
112,84.0,0.02,98.0,50.35,0.27
113,54.0,0.06,94.0,73.3,0.32
113,84.0,0.03,97.0,65.71,0.32
113,96.0,0.02,98.0,22.19,0.32
113,84.0,0.03,97.0,52.88,0.32
113,86.0,0.05,95.0,40.99,0.32
114,80.0,0.04,96.0,54.07,0.29
114,84.0,0.03,97.0,47.24,0.29
114,70.0,0.0,100.0,93.33,0.29
114,90.0,0.01,99.0,41.74,0.29
114,70.0,0.03,97.0,86.43,0.29
115,74.0,0.0,100.0,82.05,0.27
115,70.0,0.04,96.0,63.72,0.27
115,78.0,0.03,97.0,67.01,0.27
115,94.0,0.01,99.0,27.21,0.27
116,74.0,0.01,99.0,52.1,0.34

116,64.0,0.06,94.0,72.79,0.34
116,92.0,0.0,100.0,37.91,0.34
116,78.0,0.02,98.0,40.84,0.34
117,88.0,0.02,98.0,55.45,0.31
117,88.0,0.02,98.0,51.11,0.31
117,88.0,0.01,99.0,54.14,0.31
118,78.0,0.03,97.0,65.82,0.25
118,68.0,0.03,97.0,59.69,0.25
118,88.0,0.02,98.0,49.15,0.25
118,86.0,0.0,100.0,73.99,0.25
118,80.0,0.01,99.0,81.13,0.25
119,88.0,0.02,98.0,27.2,0.25


119,72.0,0.05,95.0,90.16,0.24
119,74.0,0.03,97.0,50.39,0.24
119,92.0,0.01,99.0,64.64,0.25
119,90.0,0.02,98.0,44.5,0.24

120,82.0,0.02,98.0,68.38,0.25
120,64.0,0.04,96.0,76.4,0.25

120,86.0,0.01,99.0,68.03,0.25
120,74.0,0.0,100.0,60.06,0.25
121,78.0,0.03,97.0,50.92,0.24
121,78.0,0.05,95.0,57.51,0.24
121,74.0,0.02,98.0,69.88,0.24
121,72.0,0.02,98.0,63.44,0.24
121,66.0,0.01,99.0,61.42,0.24
121,84.0,0.02,98.0,58.99,0.24
122,72.0,0.03,97.0,61.23,0.25
122,80.0,0.03,97.0,59.48,0.25
122,98.0,0.01,99.0,34.35,0.25
122,64.0,0.06,94.0,67.87,0.25
122,90.0,0.03,97.0,47.42,0.25
123,90.0,0.03,97.0,44.53,9.61
