episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
232,944.3,100,34.936549,12,0,944.3,0.15,85,90.85,4.71,0.18
233,895.1001,100,35.133314,-1,5,895.1,0.19,81,97.23,4.71,0.17
234,189,100,35.327758,0,2,189,0.11,89,97.91,13.75,0.18
235,865.51,100,35.509794,15,1,865.51,0.14,86,59.78,5.77,0.18
236,961.56,100,35.703783,12,2,961.56,0.18,82,74.5,4.05,0.17
237,678.55005,100,35.899469,4,4,678.55,0.14,86,64.57,7.95,0.18
238,836.53,100,36.096193,12,0,836.53,0.13,87,85.93,6.24,0.18
239,866.4,100,36.279748,14,2,866.4,0.15,85,81.52,5.63,0.18
240,845.09,100,36.466663,2.5,4,845.09,0.16,84,76.77,5.75,0.17
241,886.25995,100,36.664669,0,1,886.26,0.15,85,25.22,5.4,0.17
242,796.80994,100,36.856017,12,1,796.81,0.13,87,27.29,6.69,0.18
243,700.50995,100,37.051457,2.8,4,700.51,0.18,82,51.49,7.24,0.17
244,546.89996,100,37.240624,2,4,546.9,0.21,79,111.91,8.81,0.18
245,888.11005,100,37.424613,-1,5,888.11,0.13,87,74.92,5.64,0.18
246,936.76,100,37.611147,12,0,936.76,0.17,83,71.04,4.51,0.17
247,761.48,100,37.798534,0,3,761.48,0.18,82,45.3,6.49,0.17
248,1001.30005,100,37.98571,9.83,4,1001.3,0.17,83,82.24,3.73,0.17
249,933.55,100,38.173958,8,3,933.55,0.19,81,86.2,4.24,0.17
250,877,100,38.362782,8,2,877,0.11,89,49.69,6.02,0.17
251,1178.6301,100,38.54716,13.86,4,1178.63,0.13,87,88.55,2.3,0.18
252,1076.0701,100,38.727155,-1,5,1076.07,0.17,83,63.32,2.83,0.17
253,920.02997,100,38.915716,14,3,920.03,0.21,79,61.65,4.09,0.17
254,497.28003,100,39.097516,0,3,497.28,0.16,84,80.1,9.89,0.17
255,804.56006,100,39.287253,14,0,804.56,0.18,82,50.75,5.97,0.17
256,515,100,39.468262,0,0,515,0.16,84,117.19,9.68,0.18
